Country,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11
Cyprus,-2.4863624864395564,-1.6678805375213053,0.24290726030298698,-0.8129846202380946,0.00462322993376705,-0.25587085294913947,-0.22879537136837969,0.12245528299854562,0.2648932451214527,0.37465904480075946,0.6729217784099971
Czechia,-3.513504618177339,0.2156467999789386,-0.7540874790209157,1.6448831302062512,-0.023691963880184394,1.090333655419395,-1.1518525539934743,-1.1127892107745796,0.8135788141091732,1.197623483220877,0.4037045019452694
Denmark,-4.724343569157084,-1.7315158372630872,-1.5413890603363998,-0.2763050911465455,0.8337153807024714,0.03703330804245642,0.6407976109206169,-0.11886006918137793,0.5942786228240644,0.05739596106144388,0.22867234418412583
Djibouti,2.73582820569659,-1.9060901022435397,-0.6828566616822718,-0.8172792693075942,-0.25536693013944256,-1.3319288873429707,0.24146461229569946,0.46339759694789745,0.7194674591720754,0.1959281646995129,-0.05211866787008489
Dominica,-0.623320144147584,-1.9722274572916414,2.403477694299754,0.18245389569850565,-0.799577960699214,0.5688283674624984,0.2147045586806199,0.012438445873482373,-0.3413466241665255,-0.5825496405499313,-0.7819241041008689
Dominican Republic,-0.029982368464313885,0.20098848068471298,0.6139406818600772,0.5823752410304419,0.5768663823438063,-0.06911571044101905,0.27829876826840055,0.09765450776859924,-0.08608300592246158,-0.10344149288928056,1.2660434021955058
Ecuador,0.2032529215706134,1.0769688182728188,1.1879585247526407,1.0923506048335316,0.5895200900945153,-0.027019893966423094,-0.6138382677413626,0.18517883727054887,1.0199620660200006,0.8430419693198591,-0.052532788763184894
Egypt,-0.6938737258726544,3.8063102045376405,0.49088085253814445,-0.745671191302695,-1.0580432707809888,0.4229634859470611,-0.11445464024468495,0.8034671631809459,-0.23143174231450853,0.6342182975369519,0.19677601141575474
El Salvador,0.026676113086828965,-0.3242818948311497,1.2815919044022481,0.6004076110185258,0.019918863878579794,0.5616196421447516,-0.17045883853617905,0.6607819616314823,0.6400524838977645,-0.7178761660499928,0.0344119075827975
Equatorial Guinea,4.134322289371307,0.2934158591209885,0.1885353937316055,0.9219937196922242,1.7796647504177923,-1.1021826089080382,-1.0756219760427908,-1.426686936474954,0.8729764182138657,0.02960593706533967,-0.5889224635591228
Eritrea,4.447728872509019,-0.4476103084688321,-1.1925057287733465,-0.2519495618121145,-0.27064791554556267,-1.1498299933525442,-0.6391053143543619,-1.9745003810586685,-0.8027711168074634,0.41311811340079296,-0.9544559388538619
Estonia,-2.636286786401408,-1.467113036843985,0.33429024458800377,0.037560073639849166,0.2055634985045279,0.7656303413152064,0.31327352848621903,-1.4729030022817895,-0.9506612994554021,0.1510206279057374,-0.8287158588337088
Ethiopia,3.3189317005619774,1.1749981191025476,-2.11569184575037,-3.285590370487686,0.48843168861671665,1.618709741476654,-0.6980295734286599,-0.9049662326967359,-0.28673272057711674,0.5032885081511123,0.1337922428726522
Faroe Islands,-0.9396748359097659,-1.703715073453683,0.8247473090849353,0.12417958687116738,-0.12619075447447609,0.12447431037835524,-0.14343037144100612,-0.4550382471348673,-0.8023518601002507,0.5733596297966899,-0.13888504288219386
Fiji,0.8199806533844367,-0.9548326499219927,1.3034565885277525,-0.602111216164571,-0.3431188423238161,-0.43855781027249086,-0.7498307677138185,-0.5702822183966856,-0.14919110416947354,-0.2008026220072559,-0.03578253550467722
Finland,-4.691074410572206,-1.130142182674057,-0.7636386881155063,0.2992197199458042,0.2262124396000835,-0.044072213933679535,0.4214002637573888,-0.7857063937244241,0.631053210310352,-0.1528624059098013,-0.36071058347551177
France,-4.948677132020211,0.43968230736667807,-3.878297869209904,0.029721322690556645,-0.30988747423165497,0.2131926559539427,-0.4649682355377453,-0.14314862420993513,-0.7848777522419799,-0.6064228134794418,-0.33824133236564863
French Polynesia,-0.07337759500873503,-1.2650058629401766,0.6238905070163606,0.021981082814446343,-0.3079521132759362,-0.15747571717346107,-0.10948184548255352,-0.062243771435093125,-0.3738999457298403,0.7103414588430765,0.27709861223458465
Gabon,1.5338632542625805,0.180186134406543,1.6798509975848137,1.4336587612314153,0.36977282627960356,0.08084080651417562,0.168494970433609,-0.8308071463420609,1.4698164109963383,-0.9688186750876494,0.27216334893969685
Gambia,3.431121134552721,-0.11973917017726768,-0.1475352458105232,2.1367340626566875,-1.608289559429789,-0.20673540175836508,1.7559933107506223,-1.2078791619363185,-0.5389775884654723,-0.8600324948047285,0.17938478280431008
Georgia,-0.4947857405801793,-0.8490255900635747,0.32911739019778025,0.9256186675187673,-0.25381510810708885,1.0304571329687802,-0.20073105151137186,1.5729522325329521,-0.2728041128681126,0.7346861403391277,0.8004973749571556
Germany,-5.316995566476606,0.7138979594755425,-3.7099954803298583,0.31381766769781766,0.43574879822791224,0.3617705546346673,-1.385821342423151,0.302250527359053,-0.5571143607562038,-1.2171257997569231,-0.057137643855775466
Ghana,1.7689246152449911,0.1389908543775843,0.18082475770158418,-1.1716066870752735,-0.3590703368308915,0.8105326248773074,0.20445351437019818,0.03304106439529939,0.7040851357223753,-0.5020466681650163,0.6249420471011345
Greece,-3.9064954929465117,-0.4305356479449669,-1.6183691346461098,0.4501455606841245,0.3808438966572075,0.000398915149781662,-0.11675242879889168,-0.10263312109495758,0.06216531797370652,0.1817008630196959,0.015779657448154544
Greenland,-0.6123728158973479,-1.5412611057544874,0.6312578424456008,0.14500892738073415,0.10731774919373649,-0.23196286609750086,0.47801541988591956,-0.4481838189984934,0.3232246559463251,0.21107473961911025,-0.0011518257356186961
Grenada,0.41837677396310574,-1.8347750142336952,1.0301640050635907,-0.02167841858920802,-1.160250785958663,0.30784416109005164,-0.450003735230934,0.4314919520569542,-0.5620849778243435,-0.3872690005129592,-0.5506724529510374
Guatemala,0.9305225072457971,0.24365436572062082,0.8872509372107722,0.15041730618439264,0.008452410131793245,1.0212511887009692,0.18384228849441686,0.24767302453284437,0.8140913629102919,-1.0613689460550373,0.0027648268641322165
Guinea,4.504178410570001,-0.21766534125726322,-1.4407244555938448,0.835894700263936,-0.8970646463994442,0.07891556761589441,0.6298765231654353,-1.0175318705445868,0.16632755871977747,0.09407683032300748,-0.48774679976651
Guinea-Bissau,4.28304225875348,-0.8813764856339229,0.15055558285584902,0.5293294847115588,0.7737605496321747,-1.7503954266365056,-1.1832221323672132,-0.16615377888314448,0.9406183640504328,-1.1224538363655965,-1.2825204299002482
Guyana,1.6309265822787602,-1.3174144505450203,0.6193683595185857,0.038029130981212154,-0.6663932826142978,-0.405348068890006,-0.7858874113983298,0.44429980474424624,-0.2853211517443146,0.2415932170836699,0.3199003683529354
